id,name,weather,ramen,drinks,day
87,Natalie Kim,1,1,1,0
75,Stacey Nguyen,5,6,6,6
55,Phillip Martinez,4,4,4,1
45,Adam Morton,5,6,6,1
8,Brian Patel,2,3,3,3
74,Anna Lowe,1,2,2,3
79,Candace Haas,0,1,1,0
11,Eugene Michael,1,1,1,2
66,Laura Calderon,0,1,1,2
37,Jose Ramos,2,2,2,5
63,Harold Novak,3,4,4,2
14,David Lester,4,4,4,6
84,Shannon Wood,0,0,0,3
35,Erin Campos,4,5,5,4
80,Arthur Williams,1,1,1,3
15,Roger Good,3,4,4,2
39,James Johnson,5,6,6,5
90,Joseph Gray,5,6,6,6
63,Gregory Mitchell,5,6,6,6
43,Charles Poole,2,3,3,1
78,Katrina Clark,0,1,1,6
23,Ryan Barnes,2,3,3,6
12,Barbara Chandler,0,0,0,5
13,Dr. Tina Martinez DDS,5,5,5,3
45,Wanda Jones,4,4,4,3
82,Stephanie Dawson,5,6,6,3
51,Jonathan Jordan,5,5,5,5
84,John Hall,1,1,1,2
69,Daniel Ewing,5,6,6,5
83,Stacy Martinez,5,6,6,6
38,Jennifer Young,3,3,3,2
73,Tiffany Lee,5,5,5,6
31,Alexander Small,3,4,4,1
83,Ashley Dixon,1,2,2,1
62,Kenneth White,4,5,5,5
87,Michael Brown,2,3,3,0
75,Grant Martinez,2,3,3,2
12,Lindsey Watkins,4,5,5,3
99,Philip Smith,0,1,1,0
59,Maria Smith,4,4,4,3
8,John Hayes,1,2,2,0
14,Crystal Hoffman,2,3,3,4
33,Kevin Lowe,3,4,4,1
76,Christopher Evans,5,6,6,3
37,Eric Farrell,4,4,4,2
18,Megan Kim,4,5,5,0
26,Deborah Gomez,0,0,0,3
48,Charles Mccann,0,0,0,6
71,Christine Martin,4,5,5,0
30,Holly Valenzuela,5,5,5,4
41,Jamie Davis,0,0,0,4
96,Tammy Smith,3,3,3,2
54,Morgan Shepard,0,0,0,3
84,Patrick Aguirre,4,4,4,2
54,Joseph Jackson,2,3,3,6
8,Jessica Lewis,0,1,1,3
21,Vanessa Krueger,3,3,3,6
86,Brendan Gardner,0,0,0,4
65,Cindy Taylor,0,1,1,5
39,Courtney Kennedy,1,1,1,4
10,Riley Scott,2,2,2,6
54,Raymond Barnett,5,5,5,5
61,John Phillips,0,1,1,3
32,Michelle Wilson,4,5,5,2
22,Tonya Estrada,3,4,4,0
78,Mario Banks,0,1,1,4
71,Kathleen Gonzalez,3,3,3,3
73,Kevin Hernandez,4,5,5,5
57,Thomas Doyle,3,4,4,1
64,Chelsea Bailey,4,4,4,3
54,Kelly Jones,3,3,3,4
67,Crystal Payne,3,4,4,0
95,Michelle Garcia,4,5,5,4
45,Diana Gutierrez,0,0,0,0
47,Daniel Williams,3,3,3,5
89,Natasha Davis,1,2,2,0
52,Jonathan Salazar,5,5,5,6
70,Robin Lane,1,2,2,5
46,Deborah Anderson,3,3,3,3
24,Kimberly Hardin,5,5,5,6
9,Kyle Webb,0,0,0,4
9,Ronald Martinez,1,2,2,1
46,James Baxter,1,1,1,2
68,Vanessa Pearson,2,3,3,5
46,Susan West,4,5,5,1
92,Kevin Clark,3,3,3,5
31,Sharon Cox,1,2,2,1
100,Joy Holmes,4,4,4,3
69,Stephen Orozco,1,1,1,0
34,Julie Bray,3,3,3,0
75,Barbara Clark,0,0,0,5
79,Kerry Wright,3,4,4,3
89,Patricia Browning,0,0,0,4
94,Edward Williams,3,3,3,6
79,Jill Wood,2,2,2,1
29,Crystal Russo,3,4,4,2
6,Claudia Smith,1,1,1,0
31,William Kemp,3,3,3,5
90,Sheila Randolph,5,5,5,3
57,Ryan Jimenez,4,5,5,1
84,Randall Allen,5,6,6,4
40,Carrie Thomas,0,0,0,0
54,Travis Johnson,2,3,3,1
18,Robert Arnold,4,4,4,0
6,Chloe Williams,5,5,5,1
96,Felicia Moreno,3,4,4,5
41,Jamie Moore,5,5,5,2
5,Ronnie Jenkins,3,3,3,2
86,Melissa Estrada,1,2,2,6
37,Joseph Patel,5,6,6,3
17,Valerie Williams,5,5,5,2
53,Larry Wells DDS,0,1,1,0
41,Amber Parker,3,4,4,3
46,Rebecca Gibbs,0,1,1,0
52,Angela Cook,5,5,5,5
99,Diana Barnett,0,0,0,2
61,Mark Kim,0,1,1,0
56,Nicole Acosta,1,2,2,5
18,Ian Holmes,2,3,3,4
93,Francisco Walker,5,5,5,3
92,Robert Ortega,1,1,1,0
86,Erin Stout,4,5,5,3
20,Colleen Wright,0,1,1,5
93,Sherri Smith,2,3,3,5
28,Tracy Shaw,3,3,3,1
85,Lucas Wood,3,4,4,1
92,Joshua Wilson,2,2,2,6
23,Andrea Parks,1,1,1,1
100,Karen Scott,4,5,5,6
78,Sean Velez,4,5,5,4
92,Michael Morgan,3,3,3,0
11,Jamie Donovan,4,5,5,0
44,Ashley Gibson,5,5,5,0
15,Cynthia Stewart,2,2,2,5
61,Jeffrey Reed,1,1,1,4
89,Barry Crawford,4,5,5,6
98,Kevin Bush,2,3,3,6
4,Carlos Johnston,1,2,2,0
87,William Johnson,3,3,3,5
11,Tammy Parker,0,0,0,1
38,Jose Mccann,3,3,3,0
47,Catherine Huerta,5,6,6,5
35,Alicia Long,0,1,1,3
1,Erin Williams,1,2,2,6
43,Laura Shelton,2,3,3,5
85,Glenn Schneider,1,1,1,1
90,Dr. Douglas Stone,2,3,3,5
18,Tammy Clark,2,3,3,2
81,Kyle Brown,4,4,4,3
3,Holly Baldwin,1,2,2,0
35,Jeremy Tran,0,4,4,6
51,Kenneth Pacheco,4,8,8,6
98,John Walters,1,4,4,5
48,David Howard,4,8,8,5
56,James Lynn,1,4,4,6
60,Jamie Chapman,2,5,5,5
66,Jennifer Mcdaniel,2,6,6,5
54,Melissa Wilson,0,3,3,7
11,Mrs. Robin Johns MD,1,4,4,6
50,Brian Villarreal,0,4,4,5
86,Krista Wilson,1,5,5,5
24,Jeff Williams,4,8,8,6
13,Katrina Cordova,4,7,7,7
61,Zachary Lee,5,9,9,6
54,John Adams,2,6,6,7
28,Joann Watkins,5,9,9,7
83,Sandra Garza,5,8,8,5
46,Alejandro Rodriguez,2,5,5,5
28,Shelby Wilson,3,6,6,6
50,Paul Rodriguez,5,9,9,7
65,Mark Wise,1,5,5,6
61,Vincent Brown,0,3,3,7
95,Monica Duncan,0,3,3,7
86,Dwayne Oneal,3,6,6,6
84,Heather Jackson,1,4,4,5
29,Kristy Tran,4,8,8,7
80,Rhonda Lewis,1,5,5,6
11,Russell Mathis,4,8,8,6
16,Valerie Escobar,3,6,6,5
63,Tammy Wyatt,5,8,8,5
54,Christopher Reyes,3,6,6,5
12,Jamie Costa,1,4,4,5
6,Anthony Ruiz,2,6,6,7
1,Krista Rivera,3,6,6,5
